Date,Product,Region,Sales,Profit
2024-01-01,Laptop,North,50000,8000
2024-01-02,Mobile,South,30000,5000
2024-01-03,Tablet,East,,3000
2024-01-04,Laptop,West,55000,9000
2024-01-05,Mobile,North,35000,
2024-01-06,Tablet,South,22000,3500
2024-01-07,Laptop,East,60000,10000
2024-01-08,Mobile,West,32000,5500
2024-01-09,Tablet,North,21000,3200
2024-01-10,Laptop,South,58000,9500
2024-01-11,Mobile,East,31000,5200
2024-01-12,Tablet,West,23000,3700
2024-01-13,Laptop,North,62000,11000
2024-01-14,Mobile,South,34000,5800
2024-01-15,Tablet,East,24000,4000
2024-01-16,Laptop,West,57000,9200
2024-01-17,Mobile,North,36000,6100
2024-01-18,Tablet,South,22500,3400
2024-01-19,Laptop,East,61000,10500
2024-01-20,Mobile,West,33000,5600
2024-01-21,Tablet,North,21500,3100
2024-01-22,Laptop,South,59000,9700
2024-01-23,Mobile,East,,5300
2024-01-24,Tablet,West,23500,3600
2024-01-25,Laptop,North,63000,11500
2024-01-26,Mobile,South,34500,5900
2024-01-27,Tablet,East,24500,4200
2024-01-28,Laptop,West,58000,
2024-01-29,Mobile,North,37000,6200
2024-01-30,Tablet,South,23000,3500
2024-01-31,Laptop,East,62000,10800
2024-02-01,Mobile,West,33500,5700
2024-02-02,Tablet,North,22000,3300
2024-02-03,Laptop,South,60000,9800
2024-02-04,Mobile,East,32000,5400
2024-02-05,Tablet,West,24000,3800
2024-02-06,Laptop,North,64000,12000
2024-02-07,Mobile,South,35000,6000
2024-02-08,Tablet,East,,4100
2024-02-09,Laptop,West,59000,9500
2024-02-10,Mobile,North,38000,6300
